Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
06e.sql,147,141,0,24059,55548,0,1935346,24127,52,22,6,112,0.010797123292767023,0.29060646109806126,1.0
06f.sql,815,281,11,1624890,3272010,0,463227377,826417,43,18,785477,6545,0.12017869792036727,0.1620000000000033,1.0
07a.sql,126,119,0,12016,26279,0,130359,14399,45,36,32,53,0.005462020552188149,0.035158483002567256,1.0
07b.sql,78,73,0,4222,9540,0,64538,4913,23,20,16,20,0.027366857086448353,0.2661479758358916,1.0
07c.sql,338,147,1,1980242,4125075,0,50207816,1926044,218,160,68185,8251,0.009655738642852994,0.3968253968253968,1.0
08a.sql,118,113,0,27606,56816,0,25260,27994,44,33,62,114,0.022202389600406217,0.31213904941732623,1.0
08b.sql,102,96,0,3855,8156,0,14401,3863,20,17,6,17,0.03017713007067524,0.3139762298781405,1.0
08c.sql,3457,138,5,19942849,46002501,0,63030429,17348428,240,159,2487611,92006,0.027049341266448177,0.45000004404497546,1.0
08d.sql,376,8,0,3443978,6879001,0,5178344,2615319,222,147,323005,13759,0.023535175436147,0.4026026772395143,1.0
09a.sql,295,288,0,13214,27593,0,15309,13402,46,37,121,56,0.041444741013450505,0.4148936170212766,1.0
09b.sql,243,238,0,9957,20940,0,8293,10080,34,28,40,42,0.04328177389974429,0.34392590942149315,1.0
09c.sql,140,122,1,120634,253340,0,119340,112675,122,87,8144,507,0.022037273536783086,0.34058556533288703,1.0
09d.sql,825,147,1,4531906,10110926,0,4191577702,3848061,265,198,483082,20222,0.024098632012574686,0.35763035699872303,1.0
10a.sql,225,218,0,15194,38781,0,496685,14408,37,26,104,78,0.01863324657095065,0.323618851604356,1.0
10b.sql,147,145,0,1334,3002,0,3405,1335,9,7,0,7,4.98687555255226E-4,0.0032583426866750007,1.0
10c.sql,247,198,0,1665398,3334660,0,316029623,1665707,335,118,10,6670,6.790977584165654E-4,0.3776435045317221,1.0
11a.sql,94,85,0,23073,57627,0,109103839,22061,89,68,310,116,0.024761847795387523,0.4106464419369068,1.0
11b.sql,108,105,0,2125,4534,0,245548,1790,13,10,14,10,0.05243052415293083,0.4512589600279204,1.0
11c.sql,172,146,0,303922,657165,0,1063704970,297637,162,103,6946,1315,0.007734888720289587,0.167,1.0
11d.sql,271,163,0,608743,1335010,0,705525690,670456,178,107,14899,2671,0.011995568743299538,0.167,1.0
12a.sql,70,62,0,27776,64175,0,99517723,28154,61,46,397,129,0.021802315267971738,0.342130656328329,1.0
12b.sql,439,435,0,5412,12431,0,22043049,4920,28,24,10,25,0.0576743918745634,0.505999826933794,1.0
12c.sql,164,115,0,397660,896329,0,4906963675,424565,115,92,4711,1793,0.004786773863747932,0.258069432628606,1.0
13a.sql,126,13,1,811982,1603897,0,431736926,647524,166,124,111101,3208,0.036019941732569505,0.29284675751357414,1.0
13b.sql,59,55,0,9731,19755,0,88543264,7205,43,33,372,40,0.05023324175914693,0.36747246593582056,1.0
13c.sql,64,61,0,5140,10695,0,113628605,4051,25,22,53,22,0.0603375414683903,0.4139529138781705,1.0
13d.sql,642,12,2,6735766,12778526,0,121983623576,4948094,167,113,670390,25558,0.026476072917421985,0.4477477477477478,1.0
14a.sql,102,89,0,56324,150461,0,805185585,56240,97,53,761,301,0.005778561326467691,0.3381591201707237,1.0
14b.sql,94,91,0,1337,2781,0,16996960,1151,8,6,1,6,0.03683288801672343,0.2153846153846154,1.0
14c.sql,160,139,0,90543,226506,0,740915129,86333,72,50,4115,454,0.011217953939861336,0.17156913564888046,1.0
15a.sql,133,128,0,8595,18939,0,215834,11339,41,38,328,38,0.05326867778329908,0.4715964388519818,1.0
15b.sql,114,109,0,4868,11167,0,352745,5769,26,23,37,23,0.03806500661028222,0.3050225508093661,1.0
15c.sql,167,161,0,13486,27755,0,28870,12873,49,42,2271,56,0.07180373340604315,0.4963701225759797,1.0
15d.sql,250,238,0,55712,108058,0,401383,46608,95,80,11347,217,0.07038919355206795,0.25324485821674675,1.0
16a.sql,169,155,0,95755,200786,0,15423576,101091,78,54,385,402,0.007913882940941032,0.3192821508236412,1.0
